record_id,title,exclusion_stage,exclusion_reason
R097,BIIGLE2Go—A scalable image annotation system for easy deployment on cruises,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R098,An Accurate Financial Aid System for University Students Built on a Cloud Platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R099,A Baseline Framework for the Qualification of LTL Specification Miners,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R100,Construction of Artificial Intelligence Decision Systems for Complex Strategic Scenarios,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R102,Evolutionary Feature Dependencies: Analyzing Feature Co-Changes in C Systems,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R103,An Empirical Study on Low GPU Utilization of Deep Learning Jobs,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R104,An Empirical Study on Quality Issues of Deep Learning Platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R107,Robbery on DevOps: Understanding and Mitigating Illicit Cryptomining on Continuous Integration Service Platforms,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R109,How do Developers Talk About GitHub Actions? Evidence from Online Software Development Community,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R110,CloudBot: Autonomous End-to-End Cloud Deployment from Code to Infrastructure,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R111,iAnalysis V1.0: An Interactive Analysis Service System,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R112,Analyzing News Clustering with K-Means Algorithm: A Segmentation Perspective,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R113,Demo abstract: Towards IoT service deployments on edge community network microclouds,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R114,BugSwarm: Mining and Continuously Growing a Dataset of Reproducible Failures and Fixes,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R115,"DIVE: Make Online Learning Diversified, Interactive, Versatile, and Engaging",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R116,Mantus: Putting Aspects to Work for Flexible Multi-Cloud Deployment,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R117,Int2IT: An Intent-based TOSCA IT Infrastructure Management Platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R119,A Study on Improving the EDISON Data Registration Process Based on Dynamic Design,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R120,An End-to-End Scalable Copyright Detection System for Online Video Sharing Platforms,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R121,Dru: Studying Blockchain as a Complex Network,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R122,"Practical Guide to Azure Cognitive Services: Leverage the power of Azure OpenAI to optimize operations, reduce costs, and deliver cutting-edge AI solutions",Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R123,MV4MS: A Spring Cloud based Framework for the Co-Deployment of Multi-Version Microservices,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R124,Electric Power Multi-Source Heterogeneous Data Fusion Model Based on Edge Computing,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R125,Industrial 3D Printing Quality Control System Based on Machine Vision,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R126,E-Quiz: Empowering Educators with a Self-Contained and Programmable Online Exam System,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R127,Adaptive scalable pipelines for political event data generation,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R129,Citrus: Orchestrating Security Mechanisms via Adversarial Deception,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R130,Making Reproducible Research Data by Utilizing Persistent ID Graph Structure,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R131,Automating Tiny ML Intelligent Sensors DevOPS Using Microsoft Azure,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R132,Do Experts Agree About Smelly Infrastructure?,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R134,Multi-tenancy Management and Zero Downtime Upgrades using Cray-HPE Shasta Supercomputers,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R135,Dataset for Web Traffic Security Analysis,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R137,Scalable Learning Environments for Teaching Cybersecurity Hands-on,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R138,A System for Predicting Health of an E-Contract,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R139,Research on the Intelligent Terminal System of Digital Cultural Tourism Sharing Platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R140,Cloud System of Content Accounting with Access on OC Android and IOS,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R141,Automation Process of Telecommunication Networks Deployment in Microsoft Azure Cloud Technology,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R142,Evaluating Adaptation Methods for Cloud Applications: An Empirical Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R143,Let's Supercharge the Workflows: An Empirical Study of GitHub Actions,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R144,Agentic LLM-Driven C++ Build Automation: An Empirical Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R145,A Machine Learning Based Monitoring Framework for Side-Channel Information Leaks,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R146,"Social Media Intelligence and Learning Environment: an Open Source Framework for Social Media Data Collection, Analysis and Curation",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R147,Extending Educational Web Application with Elasticsearch-Based Log Analysis and Predictive Analytics,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R148,An Empirical Study of Messaging Passing Concurrency in Go Projects,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R150,Data Engineering with AWS Cookbook: A recipe-based approach to help you tackle data engineering problems with AWS services,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R152,Run-Time Application Migration Using Checkpoint/Restore In Userspace,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R154,An Empirical Study of DevSecOps Focused on Continuous Security Testing,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R155,The Challenge of Reproducible ML: An Empirical Study on The Impact of Bugs,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R156,Cold-Start Anti-Patterns and Refactorings in Serverless Systems: An Empirical Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R157,Deploying Predictive Models In A Healthcare Environment - An Open Source Approach,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R159,Workflow Optimization Using Hybrid Methodologies for Mitigating Overtasking,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R160,Turn the Rudder: A Beacon of Reentrancy Detection for Smart Contracts on Ethereum,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R161,DAppSCAN: Building Large-Scale Datasets for Smart Contract Weaknesses in DApp Projects,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R162,Evaluating Spectrum-Based Fault Localization on Deep Learning Libraries,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R163,Power Data Blockchain Sharing Scheme based on Homomorphic Encryption,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R164,An Implementation of High Efficient Smart Street Light Management System for Smart City,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R167,Local Bitcoin Network Simulator for Performance Evaluation using Lightweight Virtualization,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R168,Policy-as-Code in the Wild: A Taxonomy and Dataset for Open Policy Agent from Github,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R169,"Learning DevOps: A comprehensive guide to accelerating DevOps culture adoption with Terraform, Azure DevOps, Kubernetes, and Jenkins",Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R170,"Oops, My Tests Broke the Build: An Explorative Analysis of Travis CI with GitHub",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R171,Intelligent Autoscaling of Virtual Machines Based on Performance Metrics and Machine Learning,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R172,Big Data Platform for Analysing Crime Evidences,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R173,Towards Few-shot LLM-based Vulnerability Reproduction and Verification for Industrial Web Applications,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R174,Fog Computing Over Challenged Networks: A Real Case Evaluation,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R175,A Secure and Reusable Software Architecture for Supporting Online Data Harmonization,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R176,Castor: Contextual IoT Time Series Data and Model Management at Scale,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R177,Quantifying Security Issues in Reusable JavaScript Actions in GitHub Workflows,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R178,Options Matter: Documenting and Fixing Non-Reproducible Builds in Highly-Configurable Systems,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R179,Choosing the Weapon: A Comparative Study of Security Analyzers for Android Applications,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R180,Cloud Based Architecture Design of System of Systems,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R181,A data visualization solution for the smart city to exploit environmental data by means of 3d buildings,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R182,Privacy-by-design GEN-RWD Sandbox for Distributed Multicentric Data Analysis in Healthcare: The Proxy Module,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R183,Challenges to securing the Internet of Things,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R184,Lightweight fog based solution for privacy-preserving in IoT using blockchain,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R185,~PB&J~ - Easy Automation of Data Science/Machine Learning Workflows,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R186,Integration of cross-organizational business processes with blockchain: identifying key activities for on-chain execution based on behavioral profiles,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R187,Practical Application of Large‐Scale Blockchain,Phase 1 - Screening,"Book chapter (Wiley-IEEE Press eBook), not peer-reviewed"
R188,Blockchain-Based Communicator with Multicast Transmission,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R189,RingMo-Lite: A Remote Sensing Lightweight Network With CNN-Transformer Hybrid Framework,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R190,Monitoring Anomalous States of Computer Systems by Intellectual Analysis of Data of System Journals,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R191,A Microservice Based Architecture Topology for Machine Learning Deployment,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R192,Enhancing DataRaceBench for Evaluating Data Race Detection Tools,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R193,Skluma: An Extensible Metadata Extraction Pipeline for Disorganized Data,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R194,IOSPReD: I/O Specialized Packaging of Reduced Datasets and Data-Intensive Applications for Efficient Reproducibility,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R195,Enabling Efficient Application Monitoring in Cloud Data Centers using SDN,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R196,An automated stock recommendation system from stock investment research using domain specific information extraction,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R197,ToR-SIM - A mobile malware analysis platform,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R198,Enumerating Cliques of Hypergraphs,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R199,"Effect of Multitasking on Cognitive Functions, Performance, and Bio-Signals in First Responders",Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R201,Assessing Security Risks of Software Supply Chains Using Software Bill of Materials,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R202,Toolset for Collecting Shell Commands and Its Application in Hands-on Cybersecurity Training,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R203,AIL - The design and implementation of an Analysis Information Leak framework,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R204,Analytics on the Cloud – Inner Melbourne,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R205,Co-evolution of Infrastructure and Source Code - An Empirical Study,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
R206,Designing and Implementing Microsoft DevOps Solutions AZ-400 Exam Guide: Prepare for the certification exam and successfully apply Azure DevOps strategies with practical labs,Phase 1 - Screening,"Commercial eBook (Packt), not peer-reviewed"
R207,"IEEE Standard for DevOps:Building Reliable and Secure Systems Including Application Build, Package, and Deployment",Phase 1 - Screening,"Standards document (IEEE Standard), not a peer-reviewed study"
R209,A Tutorial on O-RAN Deployment Solutions for 5G: From Simulation to Emulated and Real Testbeds,Phase 1 - Screening,"Off-topic: title lacks containerization/IaC context (no Docker/Dockerfile, container, Kubernetes, IaC, Ansible, Terraform, Puppet, or Chef terms)"
